,price,accommodates,review_scores_location,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bathroom_type_shared,bathrooms,host_response_rate,distance_from_city_center_km
256,686.0,2,4.67,1,1,1,0,1,1.0,1.0,1.26977341168138
259,4249.0,3,5.0,0,1,1,1,0,1.0,1.0,0.39254625091732925
260,4072.0,3,4.75,0,1,1,1,0,1.0,1.0,0.30468585748654176
261,4277.0,3,4.6,0,1,1,1,0,1.0,1.0,0.29698627928744364
263,6000.0,8,4.97,0,1,1,0,0,2.0,1.0,1.6587850680510614
264,5790.0,6,4.85,0,1,1,0,0,2.0,1.0,1.547698621493402
265,4529.0,5,4.84,0,1,1,0,0,2.0,1.0,1.547698621493402
266,4634.0,5,4.76,0,1,1,0,0,2.0,1.0,1.547698621493402
269,1864.0,2,5.0,0,1,1,0,0,1.0,0.0,3.6647554594596072
272,900.0,1,4.61,1,1,1,0,1,2.0,1.0,8.79226065471205
273,1276.0,2,4.59,1,1,1,1,0,1.0,1.0,2.7400566856627484
274,1191.0,4,4.69,0,1,1,1,0,1.0,1.0,0.5075144612569796
278,4798.0,2,4.86,0,1,1,0,0,1.0,0.0,2.827536651546589
279,2200.0,3,4.67,0,1,1,1,0,1.0,1.0,0.5510858385002729
280,1811.0,2,4.95,1,1,1,0,0,1.0,0.98,1.863387114551109
281,6316.0,6,4.71,1,1,1,0,0,2.0,1.0,1.1469091970957082
282,4634.0,6,4.46,1,1,1,0,0,1.0,1.0,1.1967799263000791
283,1384.0,2,4.75,1,1,1,0,0,1.0,1.0,3.2459147594145064
284,1965.0,2,4.89,1,1,1,0,0,1.5,1.0,1.9517111754997727
285,2942.0,5,4.98,0,1,1,0,0,2.0,1.0,2.613142914710632
286,2312.0,3,4.95,0,1,1,1,0,1.0,1.0,1.6875416817591058
287,2049.0,3,4.94,0,1,1,1,0,1.0,1.0,1.6605460352415358
289,2500.0,4,4.85,0,1,1,1,0,1.0,1.0,1.864931764199007
292,1161.0,6,4.55,0,1,1,0,0,1.0,1.0,8.428795672179824
293,3629.0,6,4.67,0,1,1,0,0,1.0,0.06,1.1802836994813297
294,1046.0,2,4.61,1,1,1,0,1,1.0,1.0,1.247679407845008
295,2000.0,4,4.51,1,1,1,0,0,1.0,1.0,1.2375699246444847
297,2862.0,5,4.92,1,1,1,1,0,1.0,1.0,1.9767924738412526
298,2180.0,2,4.99,1,1,1,1,0,1.0,1.0,1.8778245711443093
299,1962.0,2,5.0,0,1,1,0,0,1.0,1.0,0.9370195090644484
300,2968.0,2,4.98,1,1,1,1,0,1.0,1.0,1.8081331136814396
301,2547.0,6,4.95,1,1,1,1,0,1.0,1.0,1.9646892420038322
308,2529.0,2,4.89,0,1,1,1,0,1.0,1.0,1.8754968904626605
309,3216.0,2,4.8,0,1,1,1,0,1.0,1.0,1.8754968904626605
310,3415.0,4,5.0,0,1,1,1,0,1.0,1.0,1.8440033386917998
311,1329.0,5,4.61,1,1,1,0,0,1.0,1.0,7.782840729275602
312,4429.0,7,4.93,0,1,1,1,0,2.0,1.0,1.6450878678558856
314,2591.0,7,4.97,0,1,1,0,0,2.0,1.0,2.6883508120024198
317,2659.0,3,4.83,0,1,1,1,0,1.0,1.0,1.8435310641709268
320,1750.0,4,4.96,1,1,0,0,0,1.0,1.0,1.3591862719432957
321,1750.0,4,4.96,1,1,0,0,0,1.0,1.0,1.4748654493829672
323,2151.0,4,4.78,1,1,1,0,0,1.0,1.0,0.6932144008345309
325,2714.0,7,4.93,0,1,1,0,0,1.0,0.9,2.5546133116173007
328,2820.0,6,4.91,0,1,1,1,0,2.0,1.0,2.179139670565371
329,886.0,2,4.82,0,1,1,0,1,1.0,1.0,1.2457287855420616
330,1929.0,3,4.88,1,1,1,1,0,1.0,1.0,0.6932144008345309
331,2529.0,2,4.87,0,1,1,1,0,1.0,1.0,1.8754968904626605
332,3216.0,2,4.89,0,1,1,1,0,1.0,1.0,1.8754968904626605
333,2784.0,4,4.88,1,1,1,0,0,1.0,1.0,2.8343008369069596
334,3815.0,4,4.85,0,1,1,1,0,1.0,1.0,1.8754968904626605
335,3815.0,4,4.82,0,1,1,1,0,1.0,1.0,1.8754968904626605
336,1329.0,2,4.66,0,1,1,0,0,1.0,0.7,7.3260466428685636
337,4466.0,3,4.98,1,1,1,0,0,1.5,1.0,2.7138311255369096
338,3258.0,4,4.97,0,1,1,0,0,1.0,1.0,0.07791399074626035
339,2084.0,2,4.93,1,1,1,0,0,1.0,1.0,1.787318168160416
340,1529.0,2,4.93,1,1,1,0,0,1.0,1.0,0.65546205261107
341,2697.0,6,4.44,0,1,1,1,0,1.5,1.0,2.786821588851913
342,1447.0,4,4.91,1,1,1,1,0,1.0,1.0,0.39618016185631644
343,2473.0,4,4.91,1,1,1,1,0,1.0,1.0,0.2817418464365
344,1471.0,3,4.57,0,1,0,0,0,1.0,1.0,1.7625702066900084
345,2907.0,6,4.89,1,1,1,0,0,1.0,1.0,1.0593141383968128
346,1700.0,2,4.67,0,1,1,0,0,2.0,1.0,1.0883431294928678
347,3407.0,4,4.5,0,1,1,1,0,1.0,1.0,0.6976701475463882
348,1339.0,4,4.97,0,1,1,0,0,1.0,1.0,1.8579699722395744
349,1314.0,4,4.79,0,1,1,1,0,1.0,1.0,2.105268218506384
351,4311.0,6,4.98,1,1,1,0,0,2.0,1.0,1.73227796456861
352,3513.0,3,5.0,0,1,1,0,0,1.0,0.9,1.7540050949068569
